time;model_id;model_name;port_name;data
99.2199;59;(0,0);;<23.501>
99.2199;60;(4,0);;<23.795>
99.2199;61;(3,1);;<23.890>
99.2199;62;(2,4);;<23.964>
99.2199;63;(5,0);;<23.800>
99.2199;64;(8,0);;<23.361>
99.2199;65;(7,0);;<23.476>
99.2199;66;(6,2);;<23.966>
99.2199;67;(3,2);;<23.972>
99.2199;68;(3,5);;<23.890>
99.2199;69;(3,6);;<23.725>
99.2199;70;(2,0);;<23.641>
99.2199;71;(7,2);;<23.948>
99.2199;72;(8,6);;<23.361>
99.2199;73;(8,2);;<23.936>
99.2199;74;(0,2);;<23.950>
99.2199;75;(4,1);;<23.918>
99.2199;76;(9,2);;<23.941>
99.2199;79;(1,5);;<23.838>
99.2199;80;(6,5);;<23.862>
99.2199;81;(3,8);;<23.477>
99.2199;86;(0,4);;<23.950>
99.2199;87;(4,7);;<23.672>
99.2199;88;(0,5);;<23.800>
99.2199;89;(3,4);;<23.972>
99.2199;90;(4,4);;<23.980>
99.2199;91;(4,5);;<23.918>
99.2199;92;(7,4);;<23.948>
99.2199;93;(5,4);;<23.980>
99.2199;94;(1,6);;<23.594>
99.2199;95;(9,0);;<23.407>
99.2199;96;(8,4);;<23.936>
99.2199;97;(6,4);;<23.966>
99.2199;98;(7,6);;<23.476>
99.2199;99;(1,0);;<23.594>
99.2199;100;(9,4);;<23.941>
99.2199;101;(8,1);;<23.744>
99.2199;102;(5,1);;<23.920>
99.2199;103;(2,5);;<23.856>
100.22;4;(7,9);;<23.246>
100.22;4;(7,9);;<23.246>
100.22;4;(7,9);;<23.246>
100.22;5;(6,9);;<23.466>
100.22;6;(4,9);;<23.660>
100.22;7;(1,9);;<23.367>
100.22;8;(7,8);;<23.145>
100.22;9;(6,8);;<23.395>
100.22;10;(5,8);;<23.575>
100.22;11;(4,8);;<23.615>
100.22;12;(1,8);;<23.283>
100.22;13;(0,8);;<23.151>
100.22;14;(9,7);;<23.134>
100.22;15;(8,7);;<23.122>
100.22;16;(9,9);;<23.134>
100.22;17;(6,7);;<23.466>
100.22;18;(3,7);;<23.580>
100.22;19;(2,7);;<23.480>
100.22;20;(1,7);;<23.367>
100.22;21;(0,7);;<23.251>
100.22;22;(9,6);;<23.423>
100.22;23;(6,6);;<23.644>
100.22;24;(5,6);;<23.750>
100.22;25;(2,6);;<23.653>
100.22;26;(7,7);;<23.246>
100.22;27;(0,6);;<23.501>
100.22;28;(8,5);;<23.707>
100.22;29;(7,5);;<23.749>
100.22;30;(3,9);;<23.580>
100.22;31;(5,2);;<23.958>
100.22;32;(2,9);;<23.480>
100.22;33;(9,5);;<23.711>
100.22;34;(9,1);;<23.711>
100.22;35;(8,8);;<23.005>
100.22;36;(4,6);;<23.773>
100.22;37;(2,2);;<23.942>
100.22;38;(7,1);;<23.749>
100.22;39;(6,1);;<23.822>
100.22;40;(4,2);;<23.962>
100.22;41;(0,3);;<23.967>
100.22;42;(8,9);;<23.122>
100.22;43;(2,1);;<23.827>
100.22;44;(5,9);;<23.625>
100.22;45;(7,3);;<23.966>
100.22;46;(1,1);;<23.789>
100.22;47;(3,0);;<23.720>
100.22;48;(3,3);;<23.981>
100.22;49;(2,8);;<23.410>
100.22;50;(0,9);;<23.251>
100.22;51;(8,3);;<23.961>
100.22;52;(5,5);;<23.875>
100.22;53;(5,7);;<23.625>
100.22;54;(0,1);;<23.750>
100.22;55;(1,4);;<23.930>
100.22;56;(9,8);;<23.019>
100.22;57;(6,0);;<23.644>
100.22;58;(1,2);;<23.930>
100.22;59;(0,0);;<23.501>
100.22;60;(4,0);;<23.773>
100.22;61;(3,1);;<23.860>
100.22;62;(2,4);;<23.942>
100.22;63;(5,0);;<23.750>
100.22;64;(8,0);;<23.415>
100.22;65;(7,0);;<23.497>
100.22;66;(6,2);;<23.941>
100.22;67;(3,2);;<23.953>
100.22;68;(3,5);;<23.860>
100.22;69;(3,6);;<23.720>
100.22;70;(2,0);;<23.653>
100.22;71;(7,2);;<23.916>
100.22;72;(8,6);;<23.415>
100.22;73;(8,2);;<23.902>
100.22;74;(0,2);;<23.917>
100.22;75;(4,1);;<23.887>
100.22;76;(9,2);;<23.904>
100.22;77;(1,3);;<23.972>
100.22;78;(9,3);;<23.962>
100.22;79;(1,5);;<23.789>
100.22;80;(6,5);;<23.822>
100.22;81;(3,8);;<23.524>
100.22;82;(2,3);;<23.977>
100.22;83;(5,3);;<23.983>
100.22;84;(6,3);;<23.976>
100.22;85;(4,3);;<23.985>
100.22;86;(0,4);;<23.917>
100.22;87;(4,7);;<23.660>
100.22;88;(0,5);;<23.750>
100.22;89;(3,4);;<23.953>
100.22;90;(4,4);;<23.962>
100.22;91;(4,5);;<23.887>
100.22;92;(7,4);;<23.916>
100.22;93;(5,4);;<23.958>
100.22;94;(1,6);;<23.578>
100.22;95;(9,0);;<23.423>
100.22;96;(8,4);;<23.902>
100.22;97;(6,4);;<23.941>
100.22;98;(7,6);;<23.497>
100.22;99;(1,0);;<23.578>
100.22;100;(9,4);;<23.904>
100.22;101;(8,1);;<23.707>
100.22;102;(5,1);;<23.875>
100.22;103;(2,5);;<23.827>
101.22;4;(7,9);;<23.326>
101.22;4;(7,9);;<23.326>
101.22;4;(7,9);;<23.326>
101.22;5;(6,9);;<23.483>
101.22;6;(4,9);;<23.647>
101.22;7;(1,9);;<23.408>
101.22;8;(7,8);;<23.246>
101.22;9;(6,8);;<23.421>
101.22;10;(5,8);;<23.565>
101.22;11;(4,8);;<23.605>
101.22;12;(1,8);;<23.338>
101.22;13;(0,8);;<23.218>
101.22;14;(9,7);;<23.224>
101.22;15;(8,7);;<23.223>
101.22;16;(9,9);;<23.224>
101.22;17;(6,7);;<23.483>
101.22;18;(3,7);;<23.602>
101.22;19;(2,7);;<23.511>
101.22;20;(1,7);;<23.408>
101.22;21;(0,7);;<23.301>
101.22;22;(9,6);;<23.446>
101.22;23;(6,6);;<23.630>
101.22;24;(5,6);;<23.723>
101.22;25;(2,6);;<23.651>
101.22;26;(7,7);;<23.326>
101.22;27;(0,6);;<23.501>
101.22;28;(8,5);;<23.692>
101.22;29;(7,5);;<23.733>
